	Cost($)	product_1(kg)	product_2(g)	product_3(quantity)	product_4(quantity)
User 1	0,242	0,241	0,062	0,143	0,286	
User 2	0,853	0,873	0,092	0,143	0,357	
User 3	0,777	0,747	0,162	0,143	0,357	
User 4	0,354	0,873	0,497	0,143	0,329	
User 5	0,01	0,114	0,062	0,071	0,0	
User 6	0,804	0,367	0,095	1,0	0,286	
User 7	0,626	0,114	1,0	0,071	0,286	
User 8	0,354	0,114	0,092	0,071	1,0	
User 9	0,0	0,051	0,0	0,071	0,286	
User 10	0,214	0,241	0,012	0,143	0,286	
User 11	0,323	0,367	0,012	0,214	0,143	
User 12	0,039	0,0	0,095	0,214	0,143	
User 13	0,418	0,43	0,015	0,286	0,143	
User 14	0,64	0,747	0,02	0,071	0,329	
User 15	0,066	0,354	0,015	0,236	0,286	
User 16	0,139	0,241	0,005	0,0	0,286	
User 17	0,489	0,367	0,196	0,214	0,357	
User 18	0,386	0,367	0,015	0,214	0,357	
User 19	0,354	1,0	0,092	0,214	0,357	
User 20	0,384	0,367	0,012	0,214	0,357	
User 21	0,31	0,241	0,02	0,286	0,357	
User 22	0,308	0,354	0,015	0,286	0,357	
User 23	1,0	0,873	0,012	0,286	0,786	
User 24	0,017	0,0	0,012	0,236	0,357	
User 25	0,053	0,0	0,012	0,214	0,357	
User 26	0,254	0,241	0,02	0,214	0,286	
User 27	0,331	0,241	0,012	0,214	0,571	
User 28	0,188	0,241	0,092	0,214	0,071	
User 29	0,188	0,241	0,012	0,214	0,071	
User 30	0,503	0,177	0,012	1,0	0,329	
